anti1,anti2,anti3,anti4,read1,read2,read3,read4,male,momage,kidage,homecog,homeemo,canti1,chomecog,chomemo,antigen
1,2,-9,-9,2.1,3.9,-9,-9,0,28,6.1,13,10,-0.67,4.11,0.8,0
3,6,4,5,2.1,2.9,4.5,4.5,1,28,6.8,9,9,1.33,0.11,-0.2,1.33
0,2,0,1,2.3,4.5,4.2,4.6,0,28,6.5,9,6,-1.67,0.11,-3.2,0
0,3,1,1,3.7,8,-9,-9,1,28,7.8,13,10,-1.67,4.11,0.8,-1.67
1,1,2,1,2.3,3.8,4.3,6.2,0,29,7.4,10,8,-0.67,1.11,-1.2,0
3,4,3,5,1.8,2.6,4.1,4,1,28,6.8,8,9,1.33,-0.89,-0.2,1.33
5,4,5,5,3.5,4.8,5.8,7.5,1,28,7.2,10,10,3.33,1.11,0.8,3.33
0,-9,-9,0,2.9,6.1,-9,-9,0,28,6.7,9,8,-1.67,0.11,-1.2,0
0,0,2,1,1.8,3.8,4,-9,0,29,6.3,12,10,-1.67,3.11,0.8,0
1,2,2,0,3.5,5.7,7,6.9,0,28,7.5,9,9,-0.67,0.11,-0.2,0
2,3,4,4,2.6,3.8,6.3,6.1,1,29,7.4,6,9,0.33,-2.89,-0.2,0.33
0,6,0,3,1.8,3.7,4.4,4.2,1,28,6.1,7,11,-1.67,-1.89,1.8,-1.67
4,2,-9,3,1.8,3.2,-9,5.4,1,29,6.1,13,10,2.33,4.11,0.8,2.33
1,0,2,0,2.2,4,5.1,6.3,1,27,7,10,11,-0.67,1.11,1.8,-0.67
0,0,0,0,2.5,3.7,4.1,7.2,0,27,7.2,7,4,-1.67,-1.89,-5.2,0
2,6,3,5,2.4,5,5.1,5.8,1,27,6,8,8,0.33,-0.89,-1.2,0.33
4,4,-9,4,3.1,4.1,-9,5.5,1,27,6.3,14,11,2.33,5.11,1.8,2.33
3,2,3,4,2.8,5.7,5.3,5.8,1,28,7.5,9,3,1.33,0.11,-6.2,1.33
0,1,1,0,1.4,2.2,2.3,-9,0,27,6.4,10,9,-1.67,1.11,-0.2,0
0,1,2,1,3.5,4.3,4.8,5.9,0,27,7.7,10,11,-1.67,1.11,1.8,0
0,0,1,0,6.7,8.2,6.9,-9,0,28,8,13,11,-1.67,4.11,1.8,0
1,1,0,1,3.1,4.7,5.6,6.4,1,27,6.7,7,7,-0.67,-1.89,-2.2,-0.67
2,6,5,4,2.3,4.1,5.8,6.9,1,27,7.4,10,9,0.33,1.11,-0.2,0.33
3,3,2,9,2.1,3.9,5,5.3,1,27,6.3,11,10,1.33,2.11,0.8,1.33
1,-9,2,1,3,4.2,5.6,6.2,0,27,7.2,9,9,-0.67,0.11,-0.2,0
0,0,1,0,1.8,2.7,4,4.5,0,28,6.4,11,8,-1.67,2.11,-1.2,0
1,3,0,0,3.8,5.7,6.2,6.8,0,28,7.8,9,5,-0.67,0.11,-4.2,0
2,0,1,2,1.8,4.2,5.1,7.2,0,27,6,8,8,0.33,-0.89,-1.2,0
0,3,2,2,2.6,2.5,3.3,4.4,1,27,6.2,4,6,-1.67,-4.89,-3.2,-1.67
5,0,5,3,3.6,5.2,6,7.5,0,27,8,7,7,3.33,-1.89,-2.2,0
0,1,2,2,1.8,2.4,3.7,5.4,0,26,6,12,13,-1.67,3.11,3.8,0
1,4,1,1,3,4.7,6.5,6.1,1,26,6.7,6,9,-0.67,-2.89,-0.2,-0.67
3,2,-9,5,2.3,4.2,-9,6.7,0,26,6.5,9,7,1.33,0.11,-2.2,0
1,3,3,1,2.1,2.5,4,3.3,1,26,7.8,9,11,-0.67,0.11,1.8,-0.67
